date,open,high,low,close,volume
18/09/2017,38.2567,38.3499,37.7513,37.9126,113077740
19/09/2017,38.1133,38.1755,37.8577,37.927,83242528
20/09/2017,37.7286,37.8147,36.7561,37.2914,211805456
21/09/2017,37.2269,37.2269,36.4981,36.651,150046644
22/09/2017,36.3237,36.3834,35.9748,36.2926,186581772
25/09/2017,35.8386,36.2783,35.6403,35.9724,177549344
26/09/2017,36.2663,36.7777,36.2448,36.5913,146640180
27/09/2017,36.749,36.9685,36.6869,36.8517,102016908
28/09/2017,36.7705,36.8637,36.4861,36.6247,88021820
29/09/2017,36.608,36.8278,36.3189,36.8254,105199240
02/10/2017,36.8589,36.9043,36.4909,36.7514,74795368
03/10/2017,36.7992,37.0572,36.7753,36.9115,64921172
04/10/2017,36.7084,36.7633,36.4288,36.6725,80655000
05/10/2017,36.8398,37.1408,36.8087,37.1289,85135076
06/10/2017,37.0285,37.1528,36.9306,37.1074,69630232
09/10/2017,37.2292,37.4491,37.1516,37.2364,65051692
10/10/2017,37.2878,37.7525,37.0596,37.2508,62468056
11/10/2017,37.2675,37.5088,37.2149,37.4061,67622560
12/10/2017,37.3583,37.602,37.2101,37.2746,64500216
13/10/2017,37.4491,37.5805,37.3726,37.5112,65576752
16/10/2017,37.7286,38.2304,37.6689,38.2017,96485808
17/10/2017,38.1778,38.4383,38.0464,38.3427,75989100
18/10/2017,38.3308,38.4001,38.1348,38.1731,65496656
19/10/2017,37.4539,37.5327,37.0405,37.2699,170336664
20/10/2017,37.4204,37.6928,37.2651,37.3344,95896584
23/10/2017,37.4873,37.6785,37.1552,37.3153,87937308
24/10/2017,37.3439,37.6139,37.3224,37.5375,71028920
25/10/2017,37.4921,37.645,37.1002,37.3726,84828392
26/10/2017,37.5685,37.7118,37.461,37.6116,68001876
27/10/2017,38.0608,39.0906,37.9198,38.9592,177816640
30/10/2017,39.1599,40.1587,39.1193,39.8361,178803088
31/10/2017,40.118,40.5362,39.8887,40.3904,144187312
01/11/2017,40.5887,40.6055,39.5709,39.8767,134551048
02/11/2017,40.0559,40.2614,39.492,40.1682,165573492
03/11/2017,41.5756,41.6377,40.8874,41.2172,237594524
06/11/2017,41.1849,41.8121,41.0308,41.6353,140105224
07/11/2017,41.5541,41.8742,41.48,41.7691,97445940
08/11/2017,41.7333,42.1108,41.6544,42.1108,95630556
09/11/2017,41.8408,42.0761,41.3701,42.0248,116742672
10/11/2017,41.9917,42.0564,41.7903,41.8862,100582000
13/11/2017,41.6056,41.8454,41.5816,41.7183,67928320
14/11/2017,41.4953,41.6008,41.0493,41.0877,99129948
15/11/2017,40.7591,40.843,40.3778,40.5457,116632280
16/11/2017,41.0493,41.2147,40.8383,41.0301,94549936
17/11/2017,41.0157,41.0996,40.68,40.8023,87598176
20/11/2017,40.8359,40.9006,40.6608,40.7615,65049788
21/11/2017,40.9534,41.6536,40.9534,41.5193,100525180
22/11/2017,41.5721,41.9653,41.4977,41.9557,102355700
24/11/2017,41.9893,42.0852,41.8804,41.9581,56106692
27/11/2017,41.9773,41.9845,41.5673,41.7471,82867208
28/11/2017,41.7975,41.9342,41.2123,41.5025,105715208
29/11/2017,41.397,41.4665,40.0853,40.6416,166665456
30/11/2017,40.8694,41.2795,40.3922,41.2099,166108872
01/12/2017,40.7543,41.1668,40.4066,41.0181,159037152
04/12/2017,41.361,41.3946,40.6776,40.7184,130169540
05/12/2017,40.5409,41.1308,40.3826,40.68,109400616
06/12/2017,40.1668,40.8154,39.9174,40.5289,114240000
07/12/2017,40.5337,40.8718,40.5049,40.6033,102693232
08/12/2017,40.8838,41.0061,40.4833,40.6152,93420924
11/12/2017,40.5745,41.4593,40.4762,41.4066,141095036
12/12/2017,41.2819,41.3394,41.1167,41.174,77636920
13/12/2017,41.3658,41.6152,41.2459,41.3107,95273788
14/12/2017,41.3418,41.5169,41.162,41.2987,81906164
15/12/2017,41.6368,41.7663,41.3562,41.7183,160677228
18/12/2017,41.9365,42.4929,41.9318,42.3058,117684456
19/12/2017,41.9725,42.0588,41.7471,41.855,109745788
20/12/2017,41.9342,42.066,41.5457,41.8095,93902596
21/12/2017,41.7663,42.2099,41.7495,41.9677,83799584
22/12/2017,41.8886,42.067,41.8454,41.9677,65397776
26/12/2017,40.9582,41.1188,40.6893,40.903,132742144
27/12/2017,40.7903,40.9534,40.6968,40.9102,85992852
28/12/2017,41.0061,41.2099,40.8814,41.0253,65920748
29/12/2017,40.891,40.9078,40.5793,40.5817,103999688
02/01/2018,40.8047,41.3179,40.5889,41.3083,102223736
03/01/2018,41.373,41.8574,41.2363,41.3011,118071596
04/01/2018,41.3754,41.5984,41.2651,41.4929,89738388
05/01/2018,41.5912,42.0541,41.4977,41.9653,94640072
08/01/2018,41.8095,42.1116,41.7087,41.8095,82271064
09/01/2018,41.8574,41.9797,41.584,41.8047,86335988
10/01/2018,41.5241,41.7975,41.4857,41.7951,95839580
11/01/2018,41.867,42.0825,41.843,42.0325,74670916
12/01/2018,42.2483,42.5313,42.1212,42.4665,101672320
16/01/2018,42.6608,43.0181,42.2387,42.2507,118263788
17/01/2018,42.2411,42.9845,41.9821,42.9485,137547344
18/01/2018,43.0133,43.1883,42.7447,42.9869,124773408
19/01/2018,42.831,43.0636,42.5432,42.795,129700268
22/01/2018,42.5169,42.632,42.3494,42.4449,108434204
23/01/2018,42.5169,43.03,42.4018,42.4545,130756584
24/01/2018,42.5049,42.5169,41.5337,41.7783,204420360
25/01/2018,41.8466,41.9533,40.8934,41.0325,166116016
26/01/2018,41.2459,41.2459,40.7807,41.1284,156572044
29/01/2018,40.8047,40.8047,40.0637,40.2771,202561624
30/01/2018,39.6932,40.1356,39.4954,40.0397,184192740
31/01/2018,40.0157,40.3926,39.927,40.15,129915720
01/02/2018,40.0865,40.4354,39.9894,40.234,188923148
02/02/2018,39.8071,39.9989,38.3923,38.4882,346375300
05/02/2018,38.1525,39.2987,37.4091,37.5266,290954088
06/02/2018,37.1285,39.2604,36.9295,39.0949,272975352
07/02/2018,39.1081,39.1836,38.1449,38.258,206434320
08/02/2018,38.4378,38.6081,37.1765,37.2053,217562064
09/02/2018,37.8174,38.0148,36.1729,37.6585,282690432
12/02/2018,38.1617,39.4594,37.9233,39.1753,243278156
13/02/2018,38.9923,39.6665,38.9201,39.5678,130196652
14/02/2018,39.256,40.3382,39.2163,40.2973,162579732
15/02/2018,40.88,41.6745,40.6897,41.6504,204588684
16/02/2018,41.4987,42.091,41.3567,41.5156,160704364
20/02/2018,41.4241,41.9562,41.2724,41.3759,135722160
21/02/2018,41.6119,41.9225,41.1737,41.1881,149886492
22/02/2018,41.3639,41.8816,41.3422,41.5324,123967760
